Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/06) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (2007 - 2021),02/28,02/28,02/28,03/02,03/13,04/10,05/03,05/03,05/03,64.9,40.0,65.4,5.0,100.0%
Median (2007 - 2021),02/14,02/14,02/14,02/18,03/09,04/10,05/18,05/18,05/18,66.5,30.0,66.5,3.5,100.0%
2021,01/29/2021,01/29/2021,01/29/2021,01/29/2021,01/29/2021,02/07/2021,02/07/2021,02/07/2021,02/07/2021,10,10,10,2,100.0%
2020,01/13/2020,01/13/2020,01/13/2020,01/21/2020,01/31/2020,05/22/2020,05/22/2020,05/22/2020,05/22/2020,131,123,131,10,100.0%
2019,02/17/2019,02/17/2019,02/17/2019,03/01/2019,03/15/2019,04/04/2019,05/28/2019,05/28/2019,05/28/2019,101,35,101,6,100.0%
2018,02/27/2018,02/27/2018,02/27/2018,02/27/2018,03/17/2018,04/09/2018,05/14/2018,05/14/2018,05/14/2018,77,42,77,4,100.0%
2017,02/23/2017,02/23/2017,02/23/2017,02/23/2017,03/03/2017,03/14/2017,05/25/2017,06/02/2017,06/02/2017,92,20,100,12,100.0%
2016,,,,,,,,,,,,,,0.0%
2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,1,1,1,1,100.0%
2014,02/11/2014,02/11/2014,02/11/2014,02/14/2014,02/15/2014,03/10/2014,04/07/2014,04/07/2014,04/07/2014,56,25,56,9,100.0%
2013,04/12/2013,04/12/2013,04/12/2013,04/12/2013,04/30/2013,05/31/2013,05/31/2013,05/31/2013,05/31/2013,50,50,50,3,100.0%
2012,01/27/2012,01/27/2012,01/27/2012,02/06/2012,02/08/2012,02/24/2012,05/01/2012,05/01/2012,05/01/2012,96,19,96,8,100.0%
2011,05/10/2011,05/10/2011,05/10/2011,05/10/2011,05/10/2011,06/21/2011,06/21/2011,06/21/2011,06/21/2011,43,43,43,2,100.0%
2010,02/08/2010,02/08/2010,02/08/2010,02/08/2010,02/24/2010,04/12/2010,06/10/2010,06/10/2010,06/10/2010,123,64,123,7,100.0%
2009,05/02/2009,05/02/2009,05/02/2009,05/02/2009,05/02/2009,05/07/2009,05/07/2009,05/07/2009,05/07/2009,6,6,6,2,100.0%
2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,1,1,1,1,100.0%
2007,02/12/2007,02/12/2007,02/12/2007,02/12/2007,04/17/2007,06/12/2007,06/12/2007,06/12/2007,06/12/2007,121,121,121,3,100.0%
